2.5-8.5i
8.5+4.5i
-11.5+6.5i
1.5-17.5i
6.5-8.5i
-11.5+6.5i
6.5-9.5i
10.5+8.5i
-12.5+0.5i
4.5-10.5i
4.5+8.5i
6.5+11.5i
11.5-8.5i
4.5+5.5i
-10.5+6.5i
1.5-10.5i
7.5+8.5i
-6.5+6.5i
2.5-14.5i
8.5+4.5i
-28.5+1.5i
-2.5-13.5i
12.5+7.5i
-17.5+0.5i
1.5-11.5i
7.5+3.5i
-13.5+6.5i
-0.5-15.5i
-5.5-7.5i
-9.5+6.5i
1.5-10.5i
7.5+7.5i
-13.5+3.5i
4.5-4.5i
9.5+8.5i
-11.5+1.5i
1.5-10.5i
-11.5+18.5i
-12.5+1.5i
1.5-10.5i
7.5+9.5i
-12.5+4.5i
2.5-9.5i
8.5+3.5i
-12.5+6.5i
1.5+10.5i
4.5+5.5i
-12.5+4.5i
3.5-10.5i
13.5+8.5i
-13.5+3.5i
5.5-14.5i
27.5+21.5i
-10.5+1.5i
2.5-14.5i
9.5+9.5i
-9.5+4.5i
6.5-15.5i
10.5+6.5i
-14.5+7.5i
0.5-12.5i
5.5+28.5i
-15.5+6.5i
-2.5-10.5i
8.5+8.5i
-11.5+3.5i
5.5-12.5i
8.5+7.5i
-9.5+6.5i
10.5-35.5i
11.5-0.5i
-11.5+7.5i
4.5-11.5i
9.5+8.5i
-6.5+9.5i
2.5-9.5i
8.5+9.5i
-17.5+6.5i
-15.5-3.5i
12.5+7.5i
-13.5+2.5i
5.5-7.5i
3.5+5.5i
-11.5-3.5i
5.5-10.5i
6.5+3.5i
-23.5-12.5i
5.5-9.5i
6.5+8.5i
-11.5+5.5i
3.5-12.5i
6.5+8.5i
-16.5-2.5i
-15.5-18.5i
5.5+10.5i
-11.5+1.5i
6.5-11.5i
6.5+9.5i
-10.5+7.5i
4.5-7.5i
8.5+9.5i
-13.5+1.5i
-11.5-26.5i
6.5+9.5i
-13.5+3.5i
4.5-9.5i
7.5+8.5i
-13.5+4.5i
3.5-14.5i
6.5+7.5i
-12.5+2.5i
-10.5-23.5i
6.5+11.5i
-9.5+4.5i
6.5-11.5i
6.5+9.5i
-12.5+1.5i
-1.5-10.5i
22.5+5.5i
-4.5+2.5i
0.5-11.5i
9.5+8.5i
-12.5+1.5i
3.5-12.5i
8.5+13.5i
-9.5-1.5i
-8.5-5.5i
1.5+21.5i
-11.5-1.5i
2.5-10.5i
4.5+10.5i
-13.5+3.5i
3.5-14.5i
6.5+9.5i
-10.5+2.5i
-15.5-16.5i
3.5+9.5i
-8.5-2.5i
1.5-12.5i
6.5+8.5i
-11.5+1.5i
1.5-15.5i
12.5+13.5i
8.5+13.5i
0.5-13.5i
6.5+10.5i
-10.5+0.5i
5.5-9.5i
5.5+8.5i
-11.5+2.5i
3.5-7.5i
5.5-5.5i
-13.5-11.5i
3.5-6.5i
7.5+12.5i
-12.5+7.5i
4.5-8.5i
9.5+9.5i
-13.5+1.5i
0.5-9.5i
10.5-4.5i
-7.5-11.5i
5.5-6.5i
9.5+10.5i
-12.5-0.5i
5.5-8.5i
13.5+11.5i
-15.5+7.5i
-0.5+9.5i
7.5+2.5i
-16.5-0.5i
5.5-10.5i
5.5+9.5i
-12.5+3.5i
2.5-10.5i
2.5+5.5i
-11.5+4.5i
-14.5-16.5i
4.5+8.5i
-12.5+2.5i
7.5-10.5i
10.5+7.5i
-11.5-1.5i
5.5-2.5i
-1.5+0.5i
-20.5-8.5i
3.5-6.5i
8.5+5.5i
